,Technique and metric Name,supports,contradicts,parts_of_same,
0,precision - No masking,0.96625626994984,0.875,0.926108374384236,
1,precision - Sentence Masking,0.93534686172723,0.711743772241993,0.890946502057613,
2,precision - Comp 1 Masking,0.84672619047619,0.363636363636364,0.201403887688985,
3,precision - Comp 2 Masking,0.886859163229228,0.758620689655172,0.346029173419773,
4,precision - Masking sentence: start till start of comp 1,0.953648915187377,0.834061135371179,0.90187891440501,
5,precision - Masking Sentence: between components,0.954977488744372,0.779342723004695,0.887755102040816,
6,precision - Masking Sentence: end of comp2 till the end,0.924131627056673,0.847222222222222,0.872844827586207,
7,precision - ------------TAG ADJ---------------,0.907178217821782,0.774193548387097,0.299109792284866,
8,precision - ------------TAG ADP---------------,0.904536222071767,0.675675675675676,0.362363919129082,
9,precision - ------------TAG ADV---------------,0.896907216494845,0.5,0.308571428571429,
10,precision - ------------TAG AUX---------------,0.888042203985932,0.666666666666667,0.289864029666255,
11,precision - ------------TAG CONJ---------------,0.902999361837907,0.636363636363636,0.300506879073135,
12,precision - ------------TAG DET---------------,0.888359428182437,0.464285714285714,0.306054557551563,
13,precision - ------------TAG NOUN---------------,0.899484536082474,0.75,0.237811484290358,
14,precision - ------------TAG NUM---------------,0.882017900732303,0.466666666666667,0.25909661229611,
15,precision - ------------TAG PART---------------,0.89958734525447,0.722222222222222,0.320182094081942,
16,precision - ------------TAG PRON---------------,0.880557398805574,0.588235294117647,0.299126637554585,
17,precision - ------------TAG PROPN---------------,0.9258114374034,0.541666666666667,0.298543689320388,
18,precision - ------------TAG PUNCT---------------,0.900878293601004,0.551724137931034,0.294744859101295,
19,precision - ------------TAG SCONJ---------------,0.891961414790997,0.652173913043478,0.32639467110741,
20,precision - ------------TAG VERB---------------,0.911909795630726,0.8,0.295925183700735,
21,recall - No masking,0.969350411710887,0.82051282051282,0.941569282136895,
22,recall - Sentence Masking,0.941567695961995,0.826446280991735,0.803339517625232,
23,recall - Comp 1 Masking,0.294971487817522,0.034782608695652,0.963824289405685,
24,recall - Comp 2 Masking,0.69740500463392,0.086274509803922,0.780621572212066,
