,Technique and metric Name,precision,recall,f1,support
0,micro_avg - No masking,0.9506213211249183,0.9506213211249183,0.9506213211249183,
1,micro_avg - Sentence Masking,0.9060984060984061,0.9060984060984061,0.9060984060984061,
2,micro_avg - Comp 1 Masking,0.373134328358209,0.373134328358209,0.373134328358209,
3,micro_avg - Comp 2 Masking,0.6601351351351351,0.6601351351351351,0.6601351351351351,
4,micro_avg - Masking sentence: start till start of comp 1,0.9345760233918129,0.9345760233918129,0.9345760233918128,
5,micro_avg - Masking Sentence: between components,0.9289415247964471,0.9289415247964471,0.928941524796447,
6,micro_avg - Masking Sentence: end of comp2 till the end,0.9100418410041841,0.9100418410041841,0.910041841004184,
7,micro_avg - ------------TAG ADJ---------------,0.5984393757503002,0.5984393757503002,0.5984393757503002,
8,micro_avg - ------------TAG ADP---------------,0.6525,0.6525,0.6525,
9,micro_avg - ------------TAG ADV---------------,0.5974820143884892,0.5974820143884892,0.5974820143884892,
10,micro_avg - ------------TAG AUX---------------,0.5973715651135006,0.5973715651135006,0.5973715651135006,
11,micro_avg - ------------TAG CONJ---------------,0.6208754208754209,0.6208754208754209,0.6208754208754209,
12,micro_avg - ------------TAG DET---------------,0.5926666666666667,0.5926666666666667,0.5926666666666667,
13,micro_avg - ------------TAG NOUN---------------,0.4947054930509596,0.4947054930509596,0.4947054930509596,
14,micro_avg - ------------TAG NUM---------------,0.5299506694855532,0.5299506694855532,0.5299506694855532,
15,micro_avg - ------------TAG PART---------------,0.624731182795699,0.624731182795699,0.624731182795699,
16,micro_avg - ------------TAG PRON---------------,0.6031746031746031,0.6031746031746031,0.6031746031746031,
17,micro_avg - ------------TAG PROPN---------------,0.6186374314800314,0.6186374314800314,0.6186374314800314,
18,micro_avg - ------------TAG PUNCT---------------,0.6263623978201635,0.6263623978201635,0.6263623978201635,
19,micro_avg - ------------TAG SCONJ---------------,0.645610278372591,0.645610278372591,0.645610278372591,
20,micro_avg - ------------TAG VERB---------------,0.5970708446866485,0.5970708446866485,0.5970708446866485,
21,macro_avg - No masking,0.9224548814446921,0.9104775047868676,0.9161522031958395,
22,macro_avg - Sentence Masking,0.8460123786756121,0.8571178315263209,0.8493811247059977,
23,macro_avg - Comp 1 Masking,0.47058881393384633,0.43119279530628635,0.27806685001954146,
24,macro_avg - Comp 2 Masking,0.6638363421013912,0.5214336955499692,0.4717465411610115,
25,macro_avg - Masking sentence: start till start of comp 1,0.8965296549878553,0.886368191224766,0.8913735350425559,
26,macro_avg - Masking Sentence: between components,0.8740251045966279,0.8690692650624449,0.871445066742735,
27,macro_avg - Masking Sentence: end of comp2 till the end,0.881399558955034,0.8194692275195616,0.8473474730966407,
28,macro_avg - ------------TAG ADJ---------------,0.6601605194979151,0.5149128256322776,0.43426642588216374,
29,macro_avg - ------------TAG ADP---------------,0.647525272292175,0.5429914059120642,0.4855886506086277,
30,macro_avg - ------------TAG ADV---------------,0.5684928816887579,0.5022831217406772,0.41788580303049416,
31,macro_avg - ------------TAG AUX---------------,0.6148576334396177,0.490713408527183,0.416679762570306,
32,macro_avg - ------------TAG CONJ---------------,0.6132899590915596,0.5129343247695406,0.4291484452868619,
33,macro_avg - ------------TAG DET---------------,0.5528999000065716,0.48769383637090824,0.4170879542762158,
34,macro_avg - ------------TAG NOUN---------------,0.6290986734576106,0.4410288568962799,0.35114509762157303,
35,macro_avg - ------------TAG NUM---------------,0.53592705989836,0.46109942955127864,0.36712390977973225,
36,macro_avg - ------------TAG PART---------------,0.6473305538528783,0.5070504656372452,0.4372954418179984,
37,macro_avg - ------------TAG PRON---------------,0.5893064434926021,0.4810966307490638,0.4127155447275743,
38,macro_avg - ------------TAG PROPN---------------,0.5886739311301518,0.5388778854063244,0.43230762174813114,
39,macro_avg - ------------TAG PUNCT---------------,0.5824490968777777,0.5141789317582266,0.4329756129465632,
40,macro_avg - ------------TAG SCONJ---------------,0.6235099996472951,0.5287004107118531,0.47877538424038235,
41,macro_avg - ------------TAG VERB---------------,0.6692783264438202,0.5121167734378766,0.4257820047488276,
42,weighted_avg - No masking,0.9502452983539923,0.9506213211249183,0.9503408471233672,
43,weighted_avg - Sentence Masking,0.9083046782492843,0.9060984060984061,0.9064123983263388,
44,weighted_avg - Comp 1 Masking,0.7049939079342389,0.373134328358209,0.38787486722739606,
45,weighted_avg - Comp 2 Masking,0.7758676716119456,0.6601351351351351,0.6712067985833867,
46,weighted_avg - Masking sentence: start till start of comp 1,0.9341493388495297,0.9345760233918129,0.9343228266872837,
47,weighted_avg - Masking Sentence: between components,0.928595661947079,0.9289415247964471,0.9287390093357029,
48,weighted_avg - Masking Sentence: end of comp2 till the end,0.9079946294307313,0.9100418410041841,0.9077281236676422,
49,weighted_avg - ------------TAG ADJ---------------,0.7875168560985008,0.5984393757503002,0.6178677381959629,
50,weighted_avg - ------------TAG ADP---------------,0.7806847461651502,0.6525,0.6655644132326918,
51,weighted_avg - ------------TAG ADV---------------,0.7531190281942342,0.5974820143884892,0.6128000714610999,
52,weighted_avg - ------------TAG AUX---------------,0.7631366347180158,0.5973715651135006,0.61696163493751,
53,weighted_avg - ------------TAG CONJ---------------,0.778168234600273,0.6208754208754209,0.6383210049333784,
54,weighted_avg - ------------TAG DET---------------,0.7416034961477306,0.5926666666666667,0.6108050364066443,
55,weighted_avg - ------------TAG NOUN---------------,0.7699082832125386,0.4947054930509596,0.5269620727995223,
56,weighted_avg - ------------TAG NUM---------------,0.7410245664281907,0.5299506694855532,0.556746310506382,
57,weighted_avg - ------------TAG PART---------------,0.778463957302939,0.624731182795699,0.6409559856332774,
58,weighted_avg - ------------TAG PRON---------------,0.7480971750039187,0.6031746031746031,0.6195663058752414,
59,weighted_avg - ------------TAG PROPN---------------,0.7933420461728979,0.6186374314800314,0.639627794152763,
60,weighted_avg - ------------TAG PUNCT---------------,0.7724454064540602,0.6263623978201635,0.6460150803815637,
61,weighted_avg - ------------TAG SCONJ---------------,0.7710515404898883,0.645610278372591,0.6642916164534622,
62,weighted_avg - ------------TAG VERB---------------,0.7961820671334623,0.5970708446866485,0.6190943621252397,
